"pi" "gen_id" "country" "region" "Latitude" "Longitude" "Alt" "topsoil_pH" "subsoil_pH" "topsoil_cec" "subsoil_cec" "topsoil_nitrogen" "subsoil_nitrogen" "topsoil_sand" "subsoil_sand" "topsoil_silt" "subsoil_silt" "topsoil_clay" "subsoil_clay" "topsoil_soc" "subsoil_soc" "Ann.Mean.Tmp" "Tmp.Seas" "Mean.Diurn.Rng" "Max.Tmp.Wrm.M" "Min.Tmp.Cld.M" "Mean.Tmp.Wet.Q" "Mean.Tmp.Dry.Q" "Mean.Tmp.Wrm.Q" "Mean.Tmp.Cld.Q" "Ann.Prc" "Prc.Seas" "Prc.Wet.Q" "Prc.Dry.Q" "Prc.Cld.Q" "Prc.Wrm.Q" "Prc.Wet.M" "Prc.Dry.M" "tmean_Q1" "tmean_Q2" "tmean_Q3" "tmean_Q4" "prec_Q1" "prec_Q2" "prec_Q3" "prec_Q4" "is.minicore" "pet_min" "AridityIndex" "max_heat_index" "ann_heat_index" "coldindex.mean" "coldindex.min"
"IS12804" "IS12804.628P7AAXX.7.250007027" "Turkey" "Middle East" 41.0186111 28.9647222 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 143 6319 74 278 32 88 225 225 65 724 48 308 83 234 83 120 23 65.3333333333333 163.333333333333 223.333333333333 121 234 110 100 280 TRUE 23 7991 13.4289864140269 4.90837995843032 0.566666666666667 0.786666666666667
"IS12805" "IS12805.C1AB3ACXX.7.250138403" "Turkey" "Middle East" 41.676944 26.555833 55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12808" "IS12808.C1AB3ACXX.7.250138404" "Turkey" "Middle East" 39.79 26.3325 63 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12810" "IS12810.C1AB3ACXX.7.250138405" "Turkey" "Middle East" 40.04000092 27.05999947 110 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12811" "IS12811.C1AB3ACXX.7.250138406" "Turkey" "Middle East" 40.36000061 27.97999954 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12813" "IS12813.C1AB3ACXX.7.250138407" "Turkey" "Middle East" 41.1822222 41.8194444 409 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12815" "IS12815.C1AB3ACXX.7.250138408" "Turkey" "Middle East" 40.6080556 43.0975 1756 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12817" "IS12817.C1AB3ACXX.7.250138409" "Turkey" "Middle East" 38.4941667 43.38 1698 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12818" "IS12818.C1AB3ACXX.7.250138410" "Turkey" "Middle East" 37.3111111 40.7427778 1022 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12819" "IS12819.C1AB3ACXX.7.250138411" "Turkey" "Middle East" 37.0097222 37.7941667 524 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12821" "IS12821.C1AB3ACXX.7.250138412" "Turkey" "Middle East" 37.6 36.9166 689 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS12822" "IS12822.C1AB3ACXX.7.250138413" "Turkey" "Middle East" 38.353333 38.311944 951 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
"IS13148" "IS13148.C1AB3ACXX.7.250138415" "Iraq" "Middle East" 33.3386111 44.3938889 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE NA NA NA NA NA NA
