pi,country,region,score.prc,score.temp,score
IS13515,Saudi Arabia,West Asia,0,0,0
IS1360,India,South Asia,0.166666667,0.363636364,0.53030303
IS1371,India,South Asia,0,0,0
IS13782,South Africa,South Africa,0,0,0
IS13791,South Africa,South Africa,0,0,0
IS13827,South Africa,South Africa,0,0,0
IS13845,South Africa,South Africa,0,0,0
IS13893,South Africa,South Africa,0,0,0
IS13919,South Africa,South Africa,0,0,0
IS13926,South Africa,South Africa,0,0,0
IS13971,South Africa,South Africa,0,0,0
IS1398,Sudan,East Africa,0,0,0
IS13989,South Africa,South Africa,0,0,0
IS1401,Pakistan,South Asia,0,0,0
IS14010,South Africa,South Africa,0,0,0
IS14133,Turkey,West Asia,0,0,0
IS1416,India,South Asia,0,0,0
IS1425,India,South Asia,0,0,0
IS14444,India,South Asia,0,0,0
IS14446,Sudan,East Africa,0,0,0
IS14449,Sudan,East Africa,0,0,0
IS14478,South Sudan,East Africa,0,0,0
IS14556,Ethiopia,East Africa,0,0,0
IS14564,Sudan,East Africa,0,0,0
IS14567,Sudan,East Africa,0,0,0
IS14635,Ethiopia,East Africa,0,0,0
IS1464,India,South Asia,0,0,0
IS1469,India,South Asia,0,0,0
IS14719,Ethiopia,East Africa,0,0,0
IS1472,India,South Asia,0,0,0
IS14724,Ethiopia,East Africa,0,0,0
IS14735,Ethiopia,East Africa,0,0,0
IS1477,India,South Asia,0,0,0
IS1520,India,South Asia,0,0,0
IS1523,India,South Asia,0,0,0
IS1540,India,South Asia,0,0,0
IS17149,Nigeria,West Africa,0,0,0
IS17185,Nigeria,West Africa,0,0,0
IS17195,Nigeria,West Africa,0,0,0
IS17196,Nigeria,West Africa,0,0,0
IS17669,India,South Asia,0,0,0
IS17671,India,South Asia,0,0,0
IS17749,India,South Asia,0,0,0
IS17752,India,South Asia,0,0,0
IS17766,India,South Asia,0,0,0
IS17815,India,South Asia,0,0,0
IS17819,India,South Asia,0,0,0
IS17857,India,South Asia,0,0,0
IS17864,India,South Asia,0,0,0
IS17872,India,South Asia,0,0,0
IS17885,India,South Asia,0,0,0
IS17891,India,South Asia,0,0,0
IS17896,India,South Asia,0,0,0
IS17905,India,South Asia,0,0,0
IS17909,India,South Asia,0,0,0
IS17912,India,South Asia,0,0.090909091,0.090909091
IS17917,India,South Asia,0,0.090909091,0.090909091
IS17919,India,South Asia,0,0.090909091,0.090909091
IS17920,India,South Asia,0.166666667,0.363636364,0.53030303
IS17921,India,South Asia,0,0,0
IS17922,India,South Asia,0,0.090909091,0.090909091
IS17925,India,South Asia,0,0,0
IS17926,India,South Asia,0.166666667,0.181818182,0.348484848
IS17929,India,South Asia,0.166666667,0.454545455,0.621212121
IS17930,India,South Asia,0.166666667,0.454545455,0.621212121
IS17933,India,South Asia,0.166666667,0.181818182,0.348484848
IS17937,India,South Asia,0.166666667,0.454545455,0.621212121
IS17941,India,South Asia,0.166666667,0.454545455,0.621212121
IS17942,India,South Asia,0.166666667,0.181818182,0.348484848
IS17958,India,South Asia,0,0.363636364,0.363636364
IS17980,India,South Asia,0,0.454545455,0.454545455
IS18039,India,South Asia,0,0.454545455,0.454545455
IS18234,Bangladesh,South Asia,0,0,0
IS18235,Bangladesh,South Asia,0,0,0
IS18236,Bangladesh,South Asia,0,0,0
IS18238,Bangladesh,South Asia,0,0,0
IS18295,Niger,West Africa,0,0,0
