"","1","2","3","4","5","6","7","8","9","10","gen_id","var"
"IS5301.D0D0HACXX.5.250046310",2.78458838700076,0.78829945003562,-9.85862249559968,-3.34333170981019,-0.658509886655151,-3.30677750755715,-4.01290619194414,0.425509630295532,-4.32395731295465,1.5559105632293,"IS5301.D0D0HACXX.5.250046310","pet_min"
"IS5386.D0D0HACXX.5.250046311",4.86460310551039,3.10333196933301,-6.58678841029575,-8.94716755761499,2.90273523064365,0.0448607249499926,-3.16543743785997,1.0944979036961,-4.4485058378939,0.790183999639509,"IS5386.D0D0HACXX.5.250046311","pet_min"
"IS5667.D0D0HACXX.5.250046312",3.15665054094894,-0.313948405886716,-2.54956097080156,-4.89849080499553,-0.713375946262249,-3.28695441373924,-3.9439025282869,1.44586106376068,-0.738000772456867,1.76949267562094,"IS5667.D0D0HACXX.5.250046312","pet_min"
"IS5919.D0D0HACXX.5.250046313",0.904899905383895,0.311447553409093,-7.24581156836431,-2.58160008356757,-3.15148799114128,-2.58841979837729,-3.67983170215333,0.816622802157944,-5.73747445739584,0.264706055510997,"IS5919.D0D0HACXX.5.250046313","pet_min"
"IS6351.628NVAAXX.5.250006919",1.75488884045594,3.49879582984908,-8.9802028224042,-2.12421702538667,-0.434106668637707,-3.1042148573589,-3.88748146367607,0.934772289536212,0.443410289676997,1.35133910553366,"IS6351.628NVAAXX.5.250006919","pet_min"
"IS6354.D0D0HACXX.5.250046315",1.90334327131045,3.2295573759278,-8.94062387316071,-2.17957816994448,-0.617759362900664,-2.86790294730988,-3.87567016966712,0.854451214251105,0.589697447178366,1.39448931776515,"IS6354.D0D0HACXX.5.250046315","pet_min"
"IS6421.D0D0HACXX.5.250046316",1.518059399177,2.44918134313782,-10.4451764370482,-3.69729179330085,-0.82947263027704,-3.45151866697148,-4.07048189784221,1.21359954801491,0.411712698932488,-0.409920167252725,"IS6421.D0D0HACXX.5.250046316","pet_min"
"IS7305.D0D0HACXX.5.250046319",4.62810712907297,6.93372681227,-3.66830782302178,-0.486119556087437,0.0276613627969795,2.17188302715424,-0.794723233587439,1.97082901836091,0.939022517814044,0.455364492499642,"IS7305.D0D0HACXX.5.250046319","pet_min"
"IS7310.D0D0HACXX.5.250046320",4.89906206760312,4.92139345867746,-0.796135403659668,-1.88741718649771,-0.272405956358388,1.05525304219097,-1.05980098767685,0.914300675021088,-0.420027608877164,3.14678396276848,"IS7310.D0D0HACXX.5.250046320","pet_min"
"IS7679.D0D0HACXX.5.250046321",5.46870628104508,5.95316621023927,1.09106145718951,-1.01855559807565,-0.453009068465583,2.29325296194974,-1.36840297734646,0.738358863784451,-0.463565485840073,2.99113785763864,"IS7679.D0D0HACXX.5.250046321","pet_min"
"IS7957.D0D0HACXX.5.250046322",5.569527647764,5.28912226220836,1.07365830539388,-1.81659067171653,0.859310878715258,1.96434873578951,-1.5287626006733,0.558231748690121,0.398352916890014,2.99944523611597,"IS7957.D0D0HACXX.5.250046322","pet_min"
