"","holding_country","origCty","n","hold_lat","hold_long","orig_lat","orig_long"
"226","United Kingdom","Kenya",10,53.9784473508021,-2.85294390932926,0.689918231837618,37.9530941126237
"227","United Kingdom","Lebanon",1,53.9784473508021,-2.85294390932926,33.9116017072209,35.8965194632475
"228","United Kingdom","Madagascar",2,53.9784473508021,-2.85294390932926,-19.0416361249304,46.6849346683254
"229","United Kingdom","Mexico",1,53.9784473508021,-2.85294390932926,23.8743606809359,-101.553997316301
"230","United Kingdom","Mali",6,53.9784473508021,-2.85294390932926,17.1681462085848,-4.34639984178115
"231","United Kingdom","Malawi",1,53.9784473508021,-2.85294390932926,-13.128986464184,34.2344118229888
"232","United Kingdom","Namibia",2,53.9784473508021,-2.85294390932926,-21.9085816328147,18.1645134584527
"233","United Kingdom","Nigeria",11,53.9784473508021,-2.85294390932926,9.61029352034213,8.14771484525619
"234","United Kingdom","Nepal",1,53.9784473508021,-2.85294390932926,28.3009206997557,84.1338898313567
"235","United Kingdom","Pakistan",9,53.9784473508021,-2.85294390932926,30.1161883714109,69.0883509076965
"236","United Kingdom","Sudan",129,53.9784473508021,-2.85294390932926,15.6706023098426,29.9514582835941
"237","United Kingdom","Thailand",2,53.9784473508021,-2.85294390932926,13.6622278474554,101.086751162146
"238","United Kingdom","Tanzania",2,53.9784473508021,-2.85294390932926,-6.35579444004115,34.8183220606038
"239","United Kingdom","Uganda",13,53.9784473508021,-2.85294390932926,1.28217292184162,32.3437176846312
"240","United Kingdom","United States",1,53.9784473508021,-2.85294390932926,38.8208089190304,-96.3316166082964
"243","Hungary","Argentina",8,47.2252733248629,19.3962004836614,-35.6972705181201,-64.5323850384308
"244","Hungary","Australia",3,47.2252733248629,19.3962004836614,-25.6973376739831,134.022771709162
"245","Hungary","Austria",3,47.2252733248629,19.3962004836614,47.6318582698958,13.797778364631
"246","Hungary","Belgium",1,47.2252733248629,19.3962004836614,50.6182138854095,4.67501015469649
"247","Hungary","Brazil",1,47.2252733248629,19.3962004836614,-11.5246304164267,-54.3552066082564
"248","Hungary","Switzerland",1,47.2252733248629,19.3962004836614,46.7367812868494,8.28692879489529
"249","Hungary","China",15,47.2252733248629,19.3962004836614,38.0732548110573,104.691138558496
"250","Hungary","Czechia",5,47.2252733248629,19.3962004836614,49.7491737093098,15.3832732920235
"251","Hungary","Cyprus",1,47.2252733248629,19.3962004836614,35.1170041634524,33.3753460091992
"252","Hungary","Germany",2,47.2252733248629,19.3962004836614,51.0830453980048,10.4261714274308
"253","Hungary","Germany",3,47.2252733248629,19.3962004836614,51.0830453980048,10.4261714274308
