"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"IS7411.C1AB3ACXX.7.250137423",13.6887526154662,-508.660413475592,2.80150325047347,1.73661642918641,-0.161166294175199,-0.0584320546955216
"IS7418.C1AB3ACXX.7.250137424",14.2086102206596,-734.277678480193,2.92826793057855,1.63682481649641,-0.132176912215446,-0.00577737535422813
"IS7419.C1AB3ACXX.7.250137425",1.6539957788387,-911.476185612491,2.01140306802701,0.752721725827776,-0.0150547795858293,0.0411863338563413
"IS7424.C1AB3ACXX.7.250137426",13.8117057575838,-790.491249773389,2.5548926777579,1.45894659530591,-0.125705394182992,-0.0124246434748707
"IS7428.C1AB3ACXX.7.250137427",16.2843545088121,-669.302695103208,2.91988743494759,1.69895825692461,-0.153805211829857,-0.0216839012257679
"IS7447.C1AB3ACXX.7.250137428",14.3898392919896,-871.96125841928,2.81636939191977,1.77555413310682,-0.161110784342549,-0.099377255493248
"IS7469.C1AB3ACXX.7.250137429",8.8603015361367,-1407.10180866086,2.14098652835243,0.86474033483952,-0.0381532343890468,0.0485669382853528
"IS7486.C1AB3ACXX.7.250137431",13.0248455891415,-648.592677693527,3.20087720673592,1.91068344700519,-0.167139589131298,-0.0673722560829052
"IS7490.C1AB3ACXX.7.250137432",-2.0316276888616,-1492.46398413549,1.49368931943743,0.401630408444192,0.0549438433892569,0.136527562499488
"IS7492.C1AB3ACXX.7.250137433",-7.46843656332674,-945.926331765684,0.653909090191302,-0.684044626095335,0.234611280456893,0.295962259356162
"IS7506.C1AB3ACXX.7.250137434",12.7279902486202,-852.755313753911,2.58866348909444,1.62845671187823,-0.136900502937881,-0.0868793511960799
"IS7508.C1AB3ACXX.7.250137435",6.10964451043624,-1011.70598298592,0.927856186988834,0.195559143343472,0.0368171694701839,0.115668275592835
"IS7535.C1AB3ACXX.7.250137436",-49.793572256052,-202.9853066735,-5.53629792950753,-4.4989584995151,0.662183027761,0.780109973387764
"IS7643.C1AB3ACXX.7.250137437",14.5274776403029,-562.996220962759,2.632885038887,1.43772048653542,-0.121292259861142,0.00456595986569396
"IS7689.C1AB3ACXX.7.250137438",13.1768032426006,-864.598733880761,3.0700015696347,1.77518097951801,-0.136251054993015,-0.0341636245763667
"IS7702.C1AB3ACXX.7.250137440",12.3081057299355,-681.412954335357,2.54843014420953,1.53628499894431,-0.136431047205611,-0.0458078713143192
"IS7704.C1AB3ACXX.7.250137441",13.4303783917526,-739.162156820001,2.65476594083766,1.4592127288997,-0.115778330962023,0.00763943953204035
"IS7763.C1AB3ACXX.7.250137442",10.3182287661471,-1293.71387857913,3.2084367598364,1.65765506514143,-0.089237431426846,0.00745211694730702
"IS7773.C1AB3ACXX.7.250137443",15.1969818832056,-887.36049428538,2.93038861564105,1.66189865166798,-0.134700357675299,-0.0199094653978097
"IS7792.C1AB3ACXX.7.250137444",10.4894059856252,-508.970935265638,2.26572996666495,1.64536958935614,-0.169419353421125,-0.128821720170132
"IS7802.C1AB3ACXX.7.250137445",12.8771433398265,-896.040837039174,2.5167085052771,1.60931323485159,-0.144110742463855,-0.0464963779169363
"IS7806.C1AB3ACXX.7.250137446",11.3523546107023,-675.920071116154,2.20169587296423,1.18660249331339,-0.0922631527083165,0.00513111773010583
"IS7812.C1AB3ACXX.7.250137447",8.85647874989963,-662.459991568261,1.51736853618125,0.946953132674611,-0.0448681452431729,0.0395048011839357
"IS7825.C1AB3ACXX.7.250137448",14.9535362505007,-744.117666994841,2.69398477670495,1.64777867860644,-0.14431802742515,-0.0287411878811323
"IS7834.C1AB3ACXX.7.250137449",12.3502575333068,-492.075047183196,2.49061549456613,1.47243962752323,-0.125522226065414,-0.0254972347267915
"IS7835.C1AB3ACXX.7.250137450",11.8470343721904,-597.480963985808,2.57827357194178,1.55533801304206,-0.128981709745896,-0.021113917737384
"IS7836.C1AB3ACXX.7.250137451",13.9514032308993,-691.852229112418,3.23148749257491,1.8504963042657,-0.157234330986595,-0.0443334773777543
"IS7843.C1AB3ACXX.7.250137452",16.4589361626697,-503.263823125634,2.66829043152748,1.76923694952423,-0.181470203410587,-0.0971257174573649
